CW,String,Dominance Score,Alternative Dominance Score from Armstrong et al. (2012) EDOM,Similarity Norming Category,Zeugmatic Similarity Norming Sentence,Anaphora,Similarity Mean,Similarity STDEV,Similarity SEM
COCKROACHES,COCKROACHES,NA,,UA,We spotted cockroaches at night and the exterminator killed some.,some,6.77,0.64,0.07
COFFIN,COFFIN,NA,,UA,They chose a pine coffin and the pall bearers carried one.,one,5.38,1.98,0.21
CORPSE,CORPSE,NA,,UA,The search party found a corpse and the medical examiner uncovered one.,one,6.42,1.16,0.12
COTTAGE,COTTAGE,NA,,UA,The honeymooners rented the cottage and we walked near there.,there,6.13,1.25,0.13
CUBA,CUBA,NA,,UA,He bought cigars in Cuba and they smoked some.,some,6.75,0.73,0.08
DAD,DAD,NA,,UA,The car was purchased by my dad and I introduced my friends to him.,him,6.61,1,0.11
DANDRUFF,DANDRUFF,NA,,UA,My curls hide my dandruff and the shampoo helps with it.,it,6.44,1.19,0.13
DAUGHTER,DAUGHTER,NA,,UA,The college accepted my daughter and my sister cradled hers.,hers,5.81,1.6,0.17
DAYLIGHT,DAYLIGHT,NA,,UA,The model looked different in the daylight and vampires avoid it.,it,5.93,1.59,0.17
DENTIST,DENTIST,NA,,UA,He was studying to be a dentist and I made an appointment with one.,one,6.24,1.34,0.14
DEW,DEW,NA,,UA,The cobweb glistened in the dew and my shoes got wet from it.,it,6.26,1.19,0.13
DOZEN,DOZEN,NA,,UA,The baker selected a dozen and the car collector purchased a dozen.,dozen,5.32,1.79,0.19
DUCHESS,DUCHESS,NA,,UA,Dignitaries greeted the duchess and photos were taken of her.,her,6.61,0.93,0.1
DUSK,DUSK,NA,,UA,The surveyors quit working at dusk and the light was beautiful then.,then,6.35,1.17,0.12
DYE,DYE,NA,,UA,At Easter they bought some dye and the hair colorist also used some.,some,5.73,1.13,0.12
EARTHWORMS,EARTHWORMS,NA,,UA,The fisherman grabbed some earthworms and the gardens benefited from them.,them,6.17,1.3,0.14
EASEL,EASEL,NA,,UA,The painter set up an easel and the poster rested on one.,one,5.88,1.65,0.18
ELVES,ELVES,NA,,UA,Santa was assisted by the elves and wizards are respected by them.,them,5.2,1.7,0.18
FIREPLACE,FIREPLACE,NA,,UA,The dog rested by a fireplace and the kids roasted marshmallows in one.,one,6.56,0.87,0.09
FLEAS,FLEAS,NA,,UA,My dog has fleas and we spotted some.,some,6.49,1.06,0.11
FOREHEAD,FOREHEAD,NA,,UA,The nurse felt my forehead and my mom kissed it.,it,6.52,1.23,0.13
FROWN,FROWN,NA,,UA,"The circus clown had a frown and the unhappy man had one, too.",one,6.57,0.98,0.11
FURNACE,FURNACE,NA,,UA,He was near the furnace and the service technician inspected it.,it,5.98,1.57,0.17
GALLONS,GALLONS,NA,,UA,The attendant pumped a few gallons and the athletes drank a few.,a few,4.49,1.86,0.2
GLACIER,GLACIER,NA,,UA,The satellite monitored the glacier and the hikers scrambled across it.,it,5.61,1.69,0.18
GRANDFATHER,GRANDFATHER,NA,,UA,The advertisement featured a grandfather and Roger is one now.,one,6.11,1.47,0.16
GRANDMOTHER,GRANDMOTHER,NA,,UA,The locket belonged to her grandmother and the girl dearly loved her.,her,6.8,0.68,0.07
HAMSTER,HAMSTER,NA,,UA,The kids fed one hamster and everyone searched for the other.,the other,6.11,1.36,0.14
HATCHET,HATCHET,NA,,UA,The woodsman used the hatchet and our neighbor borrowed it.,it,6.45,0.95,0.1
HAY,HAY,NA,,UA,The farmer pitched the hay and the horses slept on it.,it,6.4,1.22,0.13
HELMET,HELMET,NA,,UA,For safety I grabbed a helmet and the other biker wore one.,one,6.66,0.86,0.09
HEXAGON,HEXAGON,NA,,UA,Six sides formed a hexagon and the student traced one.,one,6.39,1.1,0.12
HIGHWAY,HIGHWAY,NA,,UA,The semi truck exited the highway and trees were planted along it.,it,6.32,1.31,0.14
HOE,HOE,NA,,UA,She grabbed a hoe and chopped weeds with it.,it,6.43,1.28,0.14
HOSTAGE,HOSTAGE,NA,,UA,They took a hostage and wanted ransom for him.,him,6.55,1.13,0.12
ICICLE,ICICLE,NA,,UA,I bumped into the icicle and water dripped from it.,it,6.41,1.21,0.13
IGLOO,IGLOO,NA,,UA,Neighbor kids built an igloo and Eskimos lived in one.,one,6.27,0.93,0.1
INFANT,INFANT,NA,,UA,Their child was an infant and the other couple adopted one.,one,6.44,1.21,0.13
IVY,IVY,NA,,UA,The buildings were covered in ivy and tall elms grew in it.,it,5.41,1.7,0.18
JANITOR,JANITOR,NA,,UA,Trash was emptied by the janitor and the school fired him.,him,6.65,0.82,0.09
JEEP,JEEP,NA,,UA,Soldiers piled into the jeep and the teenager crashed one.,one,6.19,1.23,0.13
JUGGLER,JUGGLER,NA,,UA,The talent show began with a juggler and for the party they hired one.,one,6.34,1.27,0.14
KITTEN,KITTEN,NA,,UA,The young children gently stroked the kitten and we heard its meow.,its,6.69,0.82,0.09
LEATHER,LEATHER,NA,,UA,Her pants were made from leather and we couldn't distinguish it from vinyl.,it,5.59,1.82,0.19
LEMONADE,LEMONADE,NA,,UA,The kids were selling some lemonade and we sat and drank some.,some,6.72,0.8,0.09
LUNGS,LUNGS,NA,,UA,A deep breath inflated his lungs and doctors found cancer in them.,them,6.51,0.95,0.1
MATTRESS,MATTRESS,NA,,UA,He lay down on the mattress and kids jumped on it.,it,6.55,1.18,0.13
MEADOW,MEADOW,NA,,UA,The landscape painting depicted a meadow and we picked flowers in one.,one,6.48,1.03,0.11
MEASLES,MEASLES,NA,,UA,I have the symptoms of measles but there is little chance of them.,them,6,1.63,0.17
MERMAID,MERMAID,NA,,UA,The story was about a mermaid and the girl swam like one.,one,6.41,0.92,0.1
MIDNIGHT,MIDNIGHT,NA,,UA,The boys snuck out at midnight and it was pitch black then.,then,6.43,1.12,0.12
MONK,MONK,NA,,UA,The prayer service was led by a monk and I led the quiet life of one.,one,5.75,1.42,0.15
MORGUE,MORGUE,NA,,UA,The doctor mostly worked in the morgue and bodies were examined there.,there,6.6,1.1,0.12
MOSQUITOS,MOSQUITOS,NA,,UA,The nets kept away the mosquitos and I killed several of them.,them,6.73,0.66,0.07
MOSS,MOSS,NA,,UA,The stones were covered in moss and tiny mushrooms grew out of it.,it,6.14,1.36,0.14
MOTHS,MOTHS,NA,,UA,In the closet were several moths and the outdoor light attracted them.,them,6.35,1.37,0.15
MYTH,MYTH,NA,,UA,The story was just a myth and Zeus is described in one.,one,6.1,1.27,0.14
NECKLACE,NECKLACE,NA,,UA,My grandma left me a necklace and my earrings matched it.,it,6.49,1.27,0.14
NIGHTGOWN,NIGHTGOWN,NA,,UA,My aunt was still in her nightgown and was freezing in it.,it,6.4,1.26,0.13
NOMADS,NOMADS,NA,,UA,The oasis was settled by nomads and the college students wandered like them.,them,5.43,1.51,0.16
NOON,NOON,NA,,UA,The campus bells chimed at noon and we met for lunch then.,then,6.53,1.07,0.11
OAR,OAR,NA,,UA,On his wall hung an oar and the rower paddled with one.,one,5.8,1.69,0.18
OCEAN,OCEAN,NA,,UA,We could smell the ocean and our room overlooks it.,it,6.53,1.02,0.11
OWL,OWL,NA,,UA,We heard the hoot of an owl and a mouse was killed by it.,it,6.61,1.01,0.11
PIGEONS,PIGEONS,NA,,UA,Messages were carried by the pigeons and a homeless man fed them.,them,6.31,1.27,0.14
SANDALS,SANDALS,NA,,UA,The tourist bought sandals and she wore them.,them,6.85,0.7,0.08
TULIPS,TULIPS,NA,,UA,She grows all kinds of tulips and arranged a bouquet of them.,them,6.5,1.16,0.12
WIG,WIG,NA,,UA,In the portrait Washington wore a wig and for Halloween I will wear one.,one,6.28,1.46,0.16
